year,decile,Total,Percent,Value per person
2016,8,224968402846.11212,0.13242292327139257,10784161.969517862
2016,9,296185956032.0347,0.17434363952222906,14198751.487633497
2016,10,543523155993.7462,0.31993348519978104,26055760.114752933
2017,1,14068080845.32656,0.007638183103478119,653265.8855503394
2017,2,48710006985.858955,0.026446816479113903,2261794.5294325296
2017,3,76448374753.0806,0.04150720277679702,3549794.5186237274
2017,4,98317166224.56337,0.05338073658339697,4565247.317262415
2017,5,118163133276.8946,0.06415598957475702,5486772.533288197
2017,6,147161181801.64926,0.07990031225180501,6833264.385292035
2017,7,186565350089.36127,0.10129457744909347,8662952.734461427
2017,8,239635573448.71912,0.13010874818197762,11127209.019721355
2017,9,316198208158.5301,0.17167798774122547,14682309.071254183
2017,10,596542770388.4865,0.3238894458583555,27701080.58455939
2018,1,13780464541.346037,0.007324640540581984,620406.2912545487
2018,2,50169353462.806885,0.026666189602383955,2258558.207482415
2018,3,80072590594.84549,0.04256046242133003,3604762.5532276365
2018,4,103244267936.97325,0.05487675311996389,4647920.944355704
2018,5,123987088603.88422,0.0659020494535545,5581735.407368848
2018,6,153559242897.27618,0.08162034396821584,6913034.83983596
2018,7,194366233101.25812,0.10331021762163496,8750111.785947783
2018,8,250576131134.7258,0.13318709852667457,11280607.353114203
2018,9,329964575448.8824,0.17538392113251164,14854570.541974626
2018,10,581664464932.2096,0.30916832361314855,26186946.917531498
2019,1,12707367018.217817,0.00655790730564225,559869.8955023931
2019,2,51156187027.5846,0.02640023949540795,2253775.0915316152
2019,3,83580042802.68672,0.04313326061298437,3682426.875916937
2019,4,107597219841.00163,0.05552783617963532,4740383.286677312
2019,5,128757939732.39426,0.06644827621803717,5672655.728804047
2019,6,159020116219.37262,0.08206571671409547,7006217.395222832
2019,7,200973497098.07266,0.10371665215700714,8854238.131027961
2019,8,258468031847.09595,0.1333879309454907,11387761.900123186
2019,9,339562343500.4534,0.17523837707450854,14960011.608972307
2019,10,595894033447.7504,0.3075238032971911,26254308.210237052
2020,1,11306976561.869516,0.005731860665829237,498478.0038738049
2020,2,52458147223.27902,0.026592678336787568,2312663.5464126887
2020,3,86801791858.33362,0.04400254778577302,3826564.620804691
2020,4,110226164747.1149,0.05587709628671398,4859417.393956482
2020,5,131358022204.54466,0.06658949689118865,5790778.619491477
2020,6,162585764926.96478,0.0824198180397168,7167736.4073078865
2020,7,205207361210.06696,0.10402604052662127,9046746.956313845
2020,8,262764021259.1798,0.1332033147507988,11583672.247362891
