land,time,name,value,value_trend
Tékkland,2007-10-01,foreign_country,8.3,9
Tékkland,2007-10-01,reporting_country,4.6,5.1
Tékkland,2007-10-01,p,0.8043478260869568,0.7655834447722117
Tékkland,2008-01-01,foreign_country,8.2,8.525
Tékkland,2008-01-01,reporting_country,4.5,4.775
Tékkland,2008-01-01,p,0.822222222222222,0.7857941727415603
Tékkland,2008-04-01,foreign_country,6.8,7.875
Tékkland,2008-04-01,reporting_country,4,4.5
Tékkland,2008-04-01,p,0.7,0.7500098590160701
Tékkland,2008-07-01,foreign_country,6.7,7.5
Tékkland,2008-07-01,reporting_country,4,4.275
Tékkland,2008-07-01,p,0.675,0.7503925120772947
Tékkland,2008-10-01,foreign_country,6.4,7.025
Tékkland,2008-10-01,reporting_country,4.2,4.175
Tékkland,2008-10-01,p,0.5238095238095237,0.6802579365079364
Tékkland,2009-01-01,foreign_country,8.4,7.075
Tékkland,2009-01-01,reporting_country,5.6,4.45
Tékkland,2009-01-01,p,0.5000000000000002,0.5997023809523809
Tékkland,2009-04-01,foreign_country,9.5,7.75
Tékkland,2009-04-01,reporting_country,6.2,5
Tékkland,2009-04-01,p,0.532258064516129,0.5577668970814132
Tékkland,2009-07-01,foreign_country,10.3,8.65
Tékkland,2009-07-01,reporting_country,7,5.75
Tékkland,2009-07-01,p,0.47142857142857153,0.5068740399385561
Tékkland,2009-10-01,foreign_country,10,9.55
Tékkland,2009-10-01,reporting_country,6.9,6.425
Tékkland,2009-10-01,p,0.4492753623188406,0.48824049956588533
Tékkland,2010-01-01,foreign_country,8.3,9.525
Tékkland,2010-01-01,reporting_country,7.9,7
Tékkland,2010-01-01,p,0.05063291139240511,0.37589872741398656
Tékkland,2010-04-01,foreign_country,7.5,9.025
Tékkland,2010-04-01,reporting_country,7,7.2
Tékkland,2010-04-01,p,0.0714285714285714,0.26069135414209715
Tékkland,2010-07-01,foreign_country,6.6,8.1
Tékkland,2010-07-01,reporting_country,6.9,7.175000000000001
Tékkland,2010-07-01,p,-0.0434782608695653,0.13196464606756295
