year,country,dwellings,population,new_dwellings,new_by_pop,rolling
2014,South Korea,19161200,51327916,419100,8.16514740243886,88.84802367504597
2015,South Korea,19559100,51529338,397900,7.721814706798678,79.0140525149693
2016,South Korea,19877100,51696216,318000,6.151320630508043,76.30414723718387
2017,South Korea,20313400,51778544,436300,8.426270155452807,75.95851665525487
2018,South Korea,20818000,51826059,504600,9.736414648082734,77.01057283297963
2019,South Korea,21310100,51849861,492100,9.490864401738705,77.90289097939072
2020,South Korea,21673500,51829023,363400,7.011515536381999,76.39999320684714
2021,South Korea,21917200,51638809,243700,4.719318758881522,74.35268449149449
1980,Spain,14356383.818181818,37344516.09090909,369750.18181818165,9.901056982987422,103.3016650536388
1981,Spain,14726134,37683363,369750.18181818165,9.81202717544561,102.33219855255292
1982,Spain,14975560.5,37802253.5,249426.5,6.5981912956591335,98.25437931388156
1983,Spain,15224987,37921144,249426.5,6.577504623805654,94.25931250826912
1984,Spain,15474413.5,38040034.5,249426.5,6.556947260392206,90.3451422503316
1985,Spain,15723840,38158925,249426.5,6.536517996772708,86.51006805233453
1986,Spain,15973266.5,38277815.5,249426.5,6.5162156393172435,82.75234270735761
1987,Spain,16222693,38396706,249426.5,6.49603900917959,79.07027027165066
1988,Spain,16472119.5,38515596.5,249426.5,6.4759869420690395,75.46220414067223
1989,Spain,16721546,38634487,249426.5,6.456058288026446,71.92654521365505
1990,Spain,16970972.5,38753377.5,249426.5,6.436251911204385,68.46174014187203
1991,Spain,17220399,38872268,249426.5,6.416566689651348,65.06627965607777
1992,Spain,17601735,39012322.71428572,381336,9.774757652672665,68.2428460130913
1993,Spain,17983071,39152377.428571425,381336,9.73979168176184,71.40513307104747
1994,Spain,18364407,39292432.14285714,381336,9.705074977633371,74.55326078828864
1995,Spain,18745743,39432486.85714286,381336,9.670604884280186,77.68734767579612
1996,Spain,19127079,39572541.571428575,381336,9.636378783295665,80.80751081977454
1997,Spain,19508415,39712596.28571428,381336,9.602394093210599,83.91386590380554
1998,Spain,19889751,39852651,381336,9.568648268844147,87.00652723058066
1999,Spain,20271087,40202160,381336,9.485460482720331,90.03592942527455
2000,Spain,20652423,40499791,381336,9.415752293635293,93.01542980770543
2001,Spain,21033759,41116842,381336,9.274447682533596,95.87331080058769
