year,new_dwellings,population,dwellings,new_by_pop,rolling,population_adult,new_by_adult,rolling_adult,country
2007,50987.89999999991,7708011.5,3926096.3,6.614922668446967,65.00284840342167,5964234,8.548943586049761,83.66005856251908,Sviss
2008,50987.90000000037,7785664,3977084.2,6.5489468849413965,65.77346016746297,6051235,8.426032041393265,84.6732620432804,Sviss
2009,50987.89999999991,7863316.5,4028072.1,6.484274160909066,66.5129632789161,6155956,8.282694028352363,85.57693734530173,Sviss
2010,50987.89999999991,7940969,4079060,6.420866269595047,67.22223490138991,6240865,8.170005279716818,86.41729569309601,Sviss
2011,52282,8035391,4131342,6.5064662068093515,66.68821221109606,6321538,8.270455702393942,85.61821171804377,Sviss
2012,46179,8123721,4177521,5.684464052864445,65.40687730008894,6405732,7.20901217846766,83.87663462365256,Sviss
2013,57385,8222327,4234906,6.979167819523597,65.49336800860263,6486426,8.846936664351063,83.86184049063046,Sviss
2014,54522,8324554,4289428,6.5495400714560805,65.2218336102288,6576367,8.290595704284751,83.37180885791761,Sviss
2015,62418,8423612,4351846,7.409885450564437,65.88077487939285,6663744,9.366806407929236,84.03841164983257,Sviss
2016,68983,8497313,4420829,8.118213369332164,67.31674695444255,6742729,10.23072408812515,85.64220568106401,Sviss
2017,48669,8560151,4469498,5.685530547299925,66.3873548332955,6818918,7.137349356598803,84.23061145161304,Sviss
2018,59404,8620693,4528902,6.890861326345806,66.72926927469992,6873197,8.642848444472056,84.44742785469184,Sviss
2019,53370,8681911,4582272,6.147264121919702,66.39225923571055,6923420,7.708617995152684,83.87335182149215,Sviss
2020,54902,8729833,4637174,6.2890091941048585,66.26040216022038,6977819,7.86807453733036,83.5714210791057,Sviss
2021,51114,8805344,4688288,5.8048839432053985,65.55881989661643,7028142,7.272761421155122,82.57372679786688,Sviss
2022,53629,8965442,4741917,5.981746354502098,65.85610219825406,7080283,7.574414751500752,82.93912937089999,Sviss
